287	288	1.250	16.145, 5.995, 0.000, 3.750, 7.000, 7.630, 0.000
111	112	6.250	24.420, 8.250, 0.000, 7.000, 1.500, 10.505, 1.500
480	481	-6.000	6.225, 5.500, 0.000, 15.275, 2.750, 8.062, 1.000
309	310	5.750	23.538, 1.750, 2.000, 4.438, 0.500, 8.062, 0.000
327	329	2.800	20.338, 6.000, 3.200, 7.040, 3.800, 10.212, 0.000
471	472	-5.500	7.002, 1.000, 0.750, 14.925, 11.500, 13.625, 0.750
549	550	2.000	7.970, 13.750, 0.000, 6.638, 2.000, 11.000, 1.500
281	282	4.750	16.998, 9.500, 0.000, 2.250, 3.500, 9.750, 1.500
553	554	-2.000	3.385, 7.500, 0.000, 9.325, 0.000, 10.500, 0.750
215	215	10.333	24.563, 22.333, 1.333, 2.000, 0.000, 4.667, 2.000
3	4	2.000	5.390, 13.250, 0.000, 3.413, 0.000, 9.510, 0.750
74	75	11.000	36.715, 6.000, 0.000, 6.800, 0.000, 9.750, 0.000
380	381	5.500	18.040, 3.140, 0.000, 3.025, 0.000, 7.750, 0.000
404	405	-0.500	2.250, 9.250, 0.000, 3.525, 2.500, 14.255, 1.250
425	426	4.500	14.388, 5.750, 0.000, 1.887, 1.500, 5.152, 0.000
102	103	0.250	3.750, 9.750, 0.000, 3.388, 0.000, 11.500, 0.000
615	616	-2.000	0.000, 1.250, 0.000, 5.888, 0.000, 4.312, 0.000
202	203	5.500	23.180, 5.500, 0.000, 4.000, 0.000, 9.250, 1.250
301	302	5.750	12.240, 12.750, 0.000, 4.275, 0.000, 4.520, 0.000
348	349	-0.500	1.500, 5.250, 0.000, 6.138, 0.500, 3.500, 0.000
523	523	-1.333	3.280, 10.743, 0.000, 6.667, 0.000, 14.823, 1.000
358	358	2.333	10.810, 5.520, 0.000, 3.883, 1.000, 14.667, 1.000
468	468	-12.667	8.567, 9.000, 0.000, 26.550, 2.667, 15.823, 3.000
411	411	-13.333	7.347, 10.793, 0.000, 28.700, 1.667, 14.000, 0.000
298	298	8.667	22.183, 6.000, 0.000, 2.507, 0.000, 3.667, 1.000
324	324	7.333	30.043, 1.000, 0.000, 6.517, 1.333, 8.667, 1.000
466	466	-0.667	7.513, 7.667, 0.667, 5.850, 0.000, 15.840, 1.000
231	231	-1.000	3.167, 3.000, 0.000, 5.333, 0.000, 7.673, 0.000
25	25	1.000	5.840, 10.333, 0.000, 4.550, 0.000, 6.000, 0.000
521	521	-3.000	5.007, 13.667, 0.000, 3.033, 1.000, 25.907, 2.000
456	456	1.000	4.000, 4.333, 0.000, 2.000, 0.000, 9.667, 0.000
478	478	-2.667	1.833, 4.333, 0.000, 5.000, 4.333, 18.667, 0.000
266	266	9.667	32.017, 5.713, 0.000, 5.850, 0.000, 10.000, 0.000
249	249	8.333	25.053, 4.667, 0.000, 3.517, 0.000, 0.667, 0.000
272	272	-1.000	4.847, 6.667, 0.000, 10.700, 0.000, 5.870, 0.000
130	130	1.333	3.663, 11.333, 0.000, 7.033, 0.000, 5.333, 1.000
122	122	-0.333	5.180, 1.667, 0.000, 6.000, 0.000, 2.000, 1.000
106	106	-0.667	0.833, 3.000, 0.000, 3.517, 0.000, 6.333, 2.333
172	172	2.000	10.507, 7.667, 0.000, 5.667, 3.667, 2.333, 0.000
224	224	4.000	14.373, 2.667, 0.000, 2.000, 0.000, 12.333, 1.333
515	515	5.667	16.693, 2.983, 0.000, 2.517, 0.667, 8.417, 1.000
463	463	3.667	14.027, 0.853, 0.000, 2.067, 0.000, 0.000, 0.000
20	20	2.333	8.673, 11.000, 0.000, 2.550, 2.000, 16.667, 3.000
315	315	-1.333	0.833, 1.667, 0.000, 3.183, 2.667, 9.333, 2.000
16	16	4.667	8.337, 13.810, 0.000, 2.333, 1.667, 9.083, 1.000
234	234	-3.000	3.997, 4.667, 0.000, 3.517, 1.000, 14.333, 0.000
407	407	0.000	2.000, 10.000, 0.000, 3.000, 0.000, 10.333, 0.000
56	56	0.000	3.167, 1.743, 0.000, 2.517, 0.000, 5.000, 1.000
157	157	1.333	3.000, 3.667, 0.000, 0.333, 0.000, 7.667, 1.000
118	118	0.667	5.127, 2.667, 0.000, 7.000, 0.000, 5.667, 0.000
52	52	-0.333	3.007, 4.000, 0.000, 6.000, 1.333, 3.667, 0.000
40	40	2.667	10.347, 2.497, 0.000, 3.517, 0.000, 3.673, 0.000
385	385	0.333	5.507, 4.000, 0.000, 2.033, 0.000, 6.673, 1.000
475	475	1.667	1.500, 5.667, 0.000, 1.000, 2.000, 6.333, 0.000
